"SiteNum","StationNum","SurveyDate","TotDetections","SigBehavior","SurveyStart","SurveyEnd","Notes","SurveyLength","presence","occupied"
"18-27","B",2018-05-19,5,"P",298,421,NA,123,1,0
"18-22","A",2018-06-05,9,"P",285,408,"0535 - two MAMU-sized birds flew across canopy window - not 100% certain actually MAMU",123,1,0
"18-27","B",2018-06-06,3,"P",288,419,NA,131,1,0
"18-13","A",2018-06-08,3,"P",286,417,NA,131,1,0
"18-12","C",2018-06-09,2,"5A",284,408,NA,124,1,1
"18-17","B",2018-06-10,1,"P",287,407,NA,120,1,0
"18-29","C",2018-06-04,0,"N",286,408,NA,122,0,0
"18-12","A",2018-05-18,0,"N",301,421,"Noise present and possibly inhibited very distant keer calls, but could still heard distant bird song.",120,0,0
"18-12","B",2018-05-30,1,"P",291,411,NA,120,1,0
"18-17","A",2018-05-31,13,"P",290,410,NA,120,1,0
"18-27","A",2018-06-02,0,"N",289,409,"Western Screech Owl heard vocalizing (unable to enter in predators table)",120,0,0
"18-21","B",2018-06-05,0,"N",288,408,NA,120,0,0
"18-16","A",2018-06-06,0,"N",288,408,NA,120,0,0
"18-22","B",2018-06-01,0,"N",290,410,NA,120,0,0
"18-23","A",2018-06-11,0,"N",286,406,NA,120,0,0
"18-15","C",2018-06-13,0,"N",286,406,NA,120,0,0
"18-29","A",2018-06-12,0,"N",286,406,NA,120,0,0
"18-1","B",2018-06-08,1,"P",287,407,NA,120,1,0
"18-1","A",2018-06-04,8,"P",288,408,NA,120,1,0
"18-11","C",2018-06-09,0,"N",287,407,NA,120,0,0
"18-12","A",2018-06-14,0,"N",286,406,NA,120,0,0
"18-13","B",2018-06-03,27,"P",289,409,NA,120,1,0
"18-17","C",2018-06-04,2,"P",288,408,NA,120,1,0
"18-23","B",2018-06-05,0,"N",288,408,NA,120,0,0
"18-15","B",2018-06-06,2,"P",287,408,NA,121,1,0
"18-22","C",2018-06-11,0,"N",286,406,NA,120,0,0
"18-27","C",2018-06-12,0,"N",286,406,NA,120,0,0
"18-16","C",2018-06-13,0,"N",286,406,NA,120,0,0
"18-1","C",2018-06-14,2,"P",286,406,NA,120,1,0
"18-29","B",2018-06-17,0,"N",286,406,NA,120,0,0
"18-17","A",2018-06-15,2,"N",286,406,NA,120,0,0
"18-22","C",2018-06-18,3,"P",297,418,"Surveyor began 11 minutes late as surveyors were held up by logging truck. Two hour survey was conducted nonetheless.",121,1,0
"18-17","A",2018-06-19,7,"P",286,406,"Very thick blanket of fog was just down the ridge to the east of station, sounded like MAMU were just below that fog blanket and may have prevented them from coming out of it into the clear skies",120,1,0
"18-27","A",2018-06-20,1,"P",285,405,"Accidentally started and ended survey 2 minutes early.",120,1,0
"18-12","B",2018-06-21,20,"P",281,407,"Started survey 6 minutes early.",126,1,0
"18-21","C",2018-06-15,0,"N",286,406,NA,120,0,0
"18-13","B",2018-06-18,6,"P",286,406,NA,120,1,0
"18-16","B",2018-06-19,12,"P",286,406,NA,120,1,0
"18-2","B",2018-06-20,11,"5A",287,407,NA,120,1,1
"18-11","B",2018-06-21,2,"P",287,407,"heard more keer calls at ~0653 on hike out of site.",120,1,0
"18-1","B",2018-06-22,20,"5A",287,407,"also observed 2 unknown accipiters (maybe Merlin?)",120,1,1
"18-16","A",2018-06-22,0,"N",287,407,NA,120,0,0
"18-22","B",2018-06-23,0,"N",287,407,NA,120,0,0
"18-11","C",2018-05-10,19,"P",309,430,NA,121,1,0
