"SiteNum","EventType","eventTime"
"18-1","Incubation",2018-05-19 05:40:51
"18-1","Incubation",2018-05-20 05:27:45
"18-1","Incubation",2018-05-20 05:27:45
"18-1","Incubation",2018-05-21 05:28:58
"18-1","Incubation",2018-05-21 05:28:47
"18-1","Incubation",2018-05-22 05:18:38
"18-1","Incubation",2018-05-22 05:18:21
"18-1","Incubation",2018-05-23 05:32:44
"18-1","Incubation",2018-05-23 05:33:21
"18-1","Incubation",2018-05-24 05:21:32
"18-1","Incubation",2018-05-24 05:21:19
"18-1","Incubation",2018-05-25 05:23:43
"18-1","Incubation",2018-05-25 05:25:03
"18-1","Incubation",2018-05-26 05:24:27
"18-1","Incubation",2018-05-26 05:24:14
"18-1","Incubation",2018-05-27 05:19:13
"18-1","Incubation",2018-05-27 05:18:59
"18-1","Incubation",2018-05-28 05:14:50
"18-1","Incubation",2018-05-28 05:14:37
"18-1","Incubation",2018-05-29 05:11:36
"18-1","Incubation",2018-05-29 05:14:28
"18-1","Incubation",2018-05-30 05:08:03
"18-1","Incubation",2018-05-30 05:07:51
"18-1","Incubation",2018-05-31 05:14:15
"18-1","Incubation",2018-05-31 05:17:49
"18-1","Incubation",2018-05-31 11:10:08
"18-1","Brooding",2018-05-31 11:10:08
"18-1","Brooding",2018-06-01 04:38:17
"18-1","Brooding",2018-06-01 05:04:14
"18-1","Brooding",2018-06-02 06:57:42
"18-1","Feeding",2018-06-02 06:59:54
"18-1","Feeding",2018-06-02 07:08:10
"18-1","Feeding",2018-06-02 21:11:26
"18-1","Feeding",2018-06-02 21:16:06
"18-1","Feeding",2018-06-02 21:15:48
"18-1","Feeding",2018-06-02 21:33:45
"18-1","Feeding",2018-06-03 05:10:47
"18-1","Feeding",2018-06-03 05:16:34
"18-1","Feeding",2018-06-03 05:24:16
"18-1","Feeding",2018-06-03 05:39:37
"18-1","Feeding",2018-06-03 20:59:45
"18-1","Feeding",2018-06-03 21:07:47
"18-1","Feeding",2018-06-04 05:12:25
"18-1","Feeding",2018-06-04 05:30:16
"18-1","Feeding",2018-06-04 21:06:16
"18-1","Feeding",2018-06-04 21:23:27
"18-1","Feeding",2018-06-05 05:03:29
"18-1","Feeding",2018-06-05 05:23:35
"18-1","Feeding",2018-06-05 06:48:58
"18-1","Feeding",2018-06-05 07:14:58
"18-1","Feeding",2018-06-05 21:11:13
"18-1","Feeding",2018-06-05 21:26:20
"18-1","Feeding",2018-06-06 05:04:23
"18-1","Feeding",2018-06-06 05:32:31
"18-1","Feeding",2018-06-06 10:59:17
"18-1","Feeding",2018-06-06 11:31:00
"18-1","Feeding",2018-06-06 20:53:29
"18-1","Feeding",2018-06-06 20:59:31
"18-1","Feeding",2018-06-06 21:00:08
"18-1","Feeding",2018-06-06 21:25:31
"18-1","Feeding",2018-06-07 08:25:33
"18-1","Feeding",2018-06-07 09:00:04
"18-1","Feeding",2018-06-07 11:24:55
"18-1","Feeding",2018-06-07 11:46:34
"18-1","Feeding",2018-06-07 20:59:16
"18-1","Feeding",2018-06-07 21:37:31
"18-1","Feeding",2018-06-07 20:59:50
"18-1","Feeding",2018-06-07 21:00:43
"18-1","Feeding",2018-06-08 05:06:30
"18-1","Feeding",2018-06-08 05:18:24
"18-1","Feeding",2018-06-08 05:51:30
"18-1","Feeding",2018-06-08 06:20:45
"18-1","Feeding",2018-06-08 07:12:46
"18-1","Feeding",2018-06-08 07:36:08
"18-1","Feeding",2018-06-08 21:07:03
"18-1","Feeding",2018-06-08 21:12:37
"18-1","Feeding",2018-06-09 05:10:12
"18-1","Feeding",2018-06-09 05:33:56
"18-1","Feeding",2018-06-09 06:32:33
"18-1","Feeding",2018-06-09 07:02:45
"18-1","Feeding",2018-06-09 08:27:04
"18-1","Feeding",2018-06-09 08:49:05
"18-1","Feeding",2018-06-09 21:23:34
"18-1","Feeding",2018-06-09 21:30:15
"18-1","Feeding",2018-06-10 05:11:28
"18-1","Feeding",2018-06-10 05:27:58
"18-1","Feeding",2018-06-10 09:41:45
"18-1","Feeding",2018-06-10 10:01:11
"18-1","Feeding",2018-06-10 12:15:17
"18-1","Feeding",2018-06-10 12:57:40
"18-1","Feeding",2018-06-10 20:38:28
"18-1","Feeding",2018-06-10 20:46:07
"18-1","Feeding",2018-06-10 20:45:51
"18-1","Feeding",2018-06-10 21:06:04
"18-1","Feeding",2018-06-11 05:35:47
"18-1","Feeding",2018-06-11 05:49:00
"18-1","Feeding",2018-06-11 21:11:46
"18-1","Feeding",2018-06-11 21:29:50
"18-1","Feeding",2018-06-12 04:57:27
"18-1","Feeding",2018-06-12 05:29:30
"18-1","Feeding",2018-06-12 05:34:59
"18-1","Feeding",2018-06-12 06:06:42
"18-1","Feeding",2018-06-12 06:37:46
"18-1","Feeding",2018-06-12 07:08:41
"18-1","Feeding",2018-06-12 08:55:41
"18-1","Feeding",2018-06-12 09:19:54
"18-1","Feeding",2018-06-12 21:19:20
"18-1","Feeding",2018-06-12 21:24:42
"18-1","Feeding",2018-06-13 05:07:50
"18-1","Feeding",2018-06-13 05:18:38
"18-1","Feeding",2018-06-13 05:40:55
"18-1","Feeding",2018-06-13 06:12:05
"18-1","Feeding",2018-06-13 21:12:43
"18-1","Feeding",2018-06-13 21:17:43
"18-1","Feeding",2018-06-13 21:18:04
"18-1","Feeding",2018-06-13 21:38:35
"18-1","Feeding",2018-06-14 05:17:19
"18-1","Feeding",2018-06-14 05:31:14
"18-1","Feeding",2018-06-14 21:07:09
"18-1","Feeding",2018-06-14 21:21:28
"18-1","Feeding",2018-06-15 05:46:00
"18-1","Feeding",2018-06-15 06:09:54
"18-1","Feeding",2018-06-15 21:14:21
"18-1","Feeding",2018-06-15 21:19:04
"18-1","Feeding",2018-06-15 21:16:16
"18-1","Feeding",2018-06-15 21:18:44
"18-1","Feeding",2018-06-16 05:00:45
"18-1","Feeding",2018-06-16 05:25:53
"18-1","Feeding",2018-06-16 05:27:10
"18-1","Feeding",2018-06-16 05:57:02
"18-1","Feeding",2018-06-16 21:14:28
"18-1","Feeding",2018-06-16 21:23:53
"18-1","Feeding",2018-06-17 04:48:04
"18-1","Feeding",2018-06-17 05:01:34
"18-1","Feeding",2018-06-17 05:01:37
"18-1","Feeding",2018-06-17 05:21:20
"18-1","Feeding",2018-06-17 06:10:43
"18-1","Feeding",2018-06-17 06:45:33
"18-1","Feeding",2018-06-17 20:53:45
"18-1","Feeding",2018-06-17 21:05:57
"18-1","Feeding",2018-06-18 04:55:05
"18-1","Feeding",2018-06-18 05:17:49
"18-1","Feeding",2018-06-18 05:09:06
"18-1","Feeding",2018-06-18 05:09:27
"18-1","Feeding",2018-06-18 09:27:22
"18-1","Feeding",2018-06-18 09:51:04
"18-1","Feeding",2018-06-18 21:00:12
"18-1","Feeding",2018-06-18 21:09:56
"18-1","Feeding",2018-06-19 06:45:33
"18-1","Feeding",2018-06-19 07:07:57
"18-1","Feeding",2018-06-19 08:16:41
"18-1","Feeding",2018-06-19 08:38:10
"18-1","Feeding",2018-06-19 21:02:29
"18-1","Feeding",2018-06-19 21:11:27
"18-1","Feeding",2018-06-19 21:12:13
"18-1","Feeding",2018-06-19 21:33:13
"18-1","Feeding",2018-06-20 06:44:20
"18-1","Feeding",2018-06-20 06:59:01
"18-1","Feeding",2018-06-20 08:00:42
"18-1","Feeding",2018-06-20 08:12:56
"18-1","InferredFeeding",2018-06-21 05:06:00
"18-1","InferredFeeding",2018-06-21 05:15:00
"18-1","InferredFeeding",2018-06-22 05:05:00
"18-1","InferredFeeding",2018-06-22 05:22:00
"18-1","InferredFeeding",2018-06-23 06:17:00
"18-1","InferredFeeding",2018-06-23 06:40:00
"18-1","Feeding",2018-06-23 21:26:00
"18-1","Feeding",2018-06-23 21:31:44
"18-1","Feeding",2018-06-24 04:55:31
"18-1","Feeding",2018-06-24 05:05:02
"18-1","Feeding",2018-06-24 05:04:42
"18-1","Feeding",2018-06-24 05:24:04
"18-1","Feeding",2018-06-24 06:07:12
"18-1","Feeding",2018-06-24 06:22:02
"18-1","Feeding",2018-06-24 20:35:43
"18-1","Feeding",2018-06-24 20:47:21
"18-1","Feeding",2018-06-24 21:24:15
"18-1","Feeding",2018-06-24 21:42:32
"18-1","Feeding",2018-06-25 05:05:42
"18-1","Feeding",2018-06-25 05:17:56
"18-1","Feeding",2018-06-25 05:17:37
"18-1","Feeding",2018-06-25 05:44:40
"18-1","Feeding",2018-06-25 06:07:01
"18-1","Feeding",2018-06-25 06:28:28
"18-1","Feeding",2018-06-25 06:59:45
"18-1","Feeding",2018-06-25 07:18:40
"18-1","Feeding",2018-06-25 12:46:56
"18-1","Feeding",2018-06-25 13:01:33
"18-1","Feeding",2018-06-25 21:07:37
"18-1","Feeding",2018-06-25 21:10:47
"18-1","Feeding",2018-06-26 04:54:15
"18-1","Feeding",2018-06-26 05:01:32
"18-1","Feeding",2018-06-26 05:00:10
"18-1","Feeding",2018-06-26 05:07:57
"18-1","Feeding",2018-06-26 06:52:45
"18-1","Feeding",2018-06-26 07:11:10
"18-1","Feeding",2018-06-26 07:55:41
"18-1","Feeding",2018-06-26 08:05:25
"18-1","Feeding",2018-06-26 21:19:41
"18-1","Feeding",2018-06-26 21:28:11
"18-1","Feeding",2018-06-27 04:56:20
"18-1","Feeding",2018-06-27 05:00:48
"18-1","Feeding",2018-06-27 05:00:20
"18-1","Feeding",2018-06-27 05:00:58
"18-1","Feeding",2018-06-27 07:36:31
"18-1","Feeding",2018-06-27 07:48:50
"18-1","Feeding",2018-06-27 21:19:35
"18-1","Feeding",2018-06-27 21:26:35
"18-1","Feeding",2018-06-28 05:04:38
"18-1","Feeding",2018-06-28 05:14:25
"18-1","Feeding",2018-06-28 05:53:33
"18-1","Feeding",2018-06-28 06:08:46
"18-1","Feeding",2018-06-28 06:25:12
"18-1","Feeding",2018-06-28 06:40:35
"18-1","Feeding",2018-06-28 21:10:31
"18-1","Feeding",2018-06-28 21:16:03
"18-1","Feeding",2018-06-29 05:46:23
"18-1","Feeding",2018-06-29 05:57:42
"18-1","Feeding",2018-06-29 09:27:36
"18-1","Feeding",2018-06-29 09:44:59
"18-1","Feeding",2018-06-30 05:04:01
"18-1","Feeding",2018-06-30 05:17:43
"18-1","Feeding",2018-06-30 05:19:29
"18-1","Feeding",2018-06-30 05:29:27
"18-1","Feeding",2018-06-30 07:11:55
"18-1","Feeding",2018-06-30 07:41:38
"18-1","Feeding",2018-06-30 21:13:41
"18-1","Feeding",2018-06-30 21:17:34
"18-1","Feeding",2018-07-01 05:45:38
"18-1","Feeding",2018-07-01 05:53:44
